06.03,Eugenia Felicyta Frydolin Jordan Klaudian Koleta Róża Wiktor Wiktoriusz Wojsław 
07.03,Felicja Nadmir Paweł Polikarp Tomasz 
08.03,Beata Filemon Jan Julian Miligost Miłogost Stefan Wincenty 
09.03,Apollo Dominik Franciszka Katarzyna Mścisława Prudencjusz Taras 
10.03,Aleksander Bożysław Cyprian Makary Marceli Maryna Porfirion 
11.03,Benedykt Drogosława Edwin Kandyd Konstanty Konstantyn Prokop Rozyna Sofroniusz 
12.03,Bernard Blizbor Grzegorz J ózefina Wasyl 
13.03,Bożena Ernest Ernestyn Kasjan Krystyna Marek Roderyk Rodryg Rodryk Trzebisław 
14.03,Bożeciecha Jakub Leon Matylda Mechtylda Michał 
15.03,Gościmir Heloiza Hilary Klemens Krzysztof Longinus Ludwika 
16.03,Abraham Cyriak Henryka Hiacynt Izabela Ksenia Oktawia 
17.03,Gertruda Harasym Jan Patrycjusz Patryk Regina Rena Zbigniew Zbygniew Zbyszko 
18.03,Aleksander Anzelm Boguchwał Cyryl Edward Narcyz Narcyza Salwator 
19.03,Bogdan Józef 
20.03,Aleksander Aleksandra Ambroży Bogusław Cyriaka Patrycjusz Ruprecht Wasyl Wincenty 
21.03,Benedykt Filemon Lubomira Mikołaj 
22.03,Bazylissa Bogusław Godzisław Katarzyna Kazimierz Paweł 
23.03,Eberhard Feliks Katarzyna Kondrat Oktawian Pelagia Pelagiusz Piotr Zbysław 
24.03,Dziersława Dzierżysława Gabor Gabriel Marek Sewer Sofroniusz Szymon 
25.03,Dyzma Ireneusz Lucja Lutomysł Łucja Maria Mariola Wieńczysław 
26.03,Emanuel Feliks Larysa Manuela Nikifor Teodor Tworzymir 
27.03,Benedykt Ernest Ernestyn Jan Lidia Rościmir Rupert 
28.03,Aniela Antoni Jan Krzesisław Sykstus 
29.03,Cyryl Czcirad Eustachiusz Eustachy Ostap Wiktoryn 
30.03,Amelia Anatol Aniela Częstobor Eufemia Jan Klaudia Kwiryn Kwiryna 
31.03,Amos Balbina Beniamin Dobromira Gwidon Kirył Korneli Kornelia 
01.04,Chryzant Grażyna Hugo Hugon Katarzyna Świętopełk Teodora Tolisław Zbigniew Zbyszko 
02.04,Franciszek Nicefor Sadomir Urban Władysław Władysława 
03.04,Antoni Cieszygor Jakub Pankracy Ryszard 
04.04,Ambroży Bazyli Benedykt Izydor Wacław Wacława Zdzimir 
05.04,Borzywoj Irena Wincenty 
06.04,Ada Adam Adamina Celestyn Celestyna Diogenes Ireneusz Katarzyna Sykstus Świętobor Zachariasz 
07.04,Donat Donata Epifaniusz Hegezyp Herman Przecław Rufin 
08.04,Apolinary Cezary Cezaryna Dawryła Dionizy Maksym Radosław Sieciesława Wyszesław 
09.04,Dobrosława Dymitr January Maja Marceli Matron 
10.04,Antoni Apoloniusz Daniel Ezechiel Grodzisław Henryk Makary Małgorzata Michał Pompejusz 
11.04,Filip Herman Jaromir Leon Marek 
12.04,Andrzej Iwan Juliusz Siemiodrog Wiktor Wiktoriusz Wszemił Zenon Zenona 
13.04,Hermenegild Hermenegilda Ida Jan Justyn Małgorzata Przemysław 
14.04,Berenike Julianna Justyn Maria Myślimir Tyburcjusz Walerian Waleriana 
15.04,Anastazja Bazyli Leonid Ludwina Modest Olimpia Tytus Wacław Wacława Wiktoryn Wszegniew 
16.04,Benedykt Bernadetta Cecyl Cecylian Charyzjusz Erwin Erwina Herbert Julia Lambert Lamberta Nikita Nosisław Patrycy Urban Wilhelm 
17.04,Anicet Innocenta Innocenty Jakub Józef Klara Radociech Robert Roberta Rudolf Rudolfa Rudolfina Stefan 
18.04,Apoloniusz Bogusław Bogusława Flawiusz Gościsław 
19.04,Adolf Adolfa Adolfina Alf Cieszyrad Czech Czechasz Czechoń Czesław Leon Leontyna Pafnucy Tymon Werner Włodzimierz 
20.04,Agnieszka Amalia Czech Czechasz Czechoń Czesław Florencjusz Florenty Nawoj Sulpicjusz Szymon Teodor 
21.04,Addar Anzelm Bartosz Drogomił Feliks Irydion Konrad Konrada Selma 
22.04,Heliodor Kajus Leonid Łukasz Soter Strzeżymir Teodor 
23.04,Adalbert Gerard Gerarda Gerhard Helena Jerzy Leonia Wojciech 
24.04,Aleksander Aleksy Egbert Erwin Erwina Fidelis Grzegorz Horacjusz Horacy Zbroimir 
25.04,Jarosław Marek Wasyl 
26.04,Artemon Klaudiusz Klet Marcelin Marcelina Maria Marzena Spycimir 
27.04,Anastazy Andrzej Bożebor Kanizjusz Martyn Piotr Teofil Zyta 
28.04,Arystarch Maria Paweł Przybyczest Waleria Witalis 
29.04,Angelina Augustyn Bogusław Hugo Hugon Paulin Piotr Rita Robert Roberta Sybilla 
30.04,Bartłomiej Chwalisława Eutropiusz Jakub Katarzyna Lilla Marian 
01.05,Aniela Filip Jakub Jeremi Jeremiasz Józef Lubomir 
02.05,Afanazy Anatol Atanazy Longin Longina Walenty Walter Witomir Zygmunt 
03.05,Aleksander Antonina January Maria Mariola Świętosława 
04.05,Florian Grzegorz Michał Monika Paulin Strzeżywoj 
05.05,Irena Ita Jan Pius Teodor Waldemar Zdzibor 
06.05,Benedykta Benita Dytrych Gościwit Judyta Jurand 
07.05,Benedykt Bogumir Domicela Flawia Florian Gizela Gustawa Ludmiła Ludomiła Sawa Wincenta 
